ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,label
2025-01-22 19:45:00.841221094,CZNtCw3ytIYleAeZQ8,10.1.17.215,50085,23.40.146.4,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,kv801.prod.do.dsp.mp.microsoft.com,F,-,http/1.1,T,CsxuknGIti,"ff999b10ea2fb6f2eef794ae370817d45a9310f9e2104292591c2db6801a6652,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T,0
2025-01-22 19:45:01.116508007,Cbw0NW2Ml15X8WSDbf,10.1.17.215,50086,52.156.123.84,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp384r1,geo.prod.do.dsp.mp.microsoft.com,F,-,h2,T,CsxknGIi,"c537ffba44956e7baf33c6b88f9d000c5a8b618a0628f6dc097c10c2212ba803,e39f93f3b2b40fd3c41de7dfa7d0b0cb6c4d8f97cbab2bb81c178f4b5f3c7eed",(empty),T,0
2025-01-22 19:45:02.131674050,C74m4A1LfhTzcpgiy5,10.1.17.215,50088,20.10.31.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,client.wns.windows.com,F,-,-,T,CsxknGIi,"0e13d73f67ec54d3f50098f7947a73c7527ee6755240bbccaf3993e0f7da3e75,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T,0
2025-01-22 19:45:08.546880007,CGlGDs2WpVKRS5JdRd,10.1.17.215,50089,52.178.17.235,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v10.events.data.microsoft.com,F,-,h2,T,CsxknGIi,"2fca332dedb6fcdde638e2301d1cbae15d8f647d81d9d5e4186fd5ab58ae3b81,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T,0
2025-01-22 19:45:09.436495066,CzJ2Sq343Eoscapyqc,10.1.17.215,50090,52.178.17.235,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v20.events.data.microsoft.com,F,-,h2,T,CsxknGIi,"2fca332dedb6fcdde638e2301d1cbae15d8f647d81d9d5e4186fd5ab58ae3b81,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T,0
2025-01-22 19:45:13.242784023,Ctv2M64OmzpV3MtrI6,10.1.17.215,50099,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,windows.msn.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 19:45:13.441970110,C8FpwGyzj34D6WEfc,10.1.17.215,50100,52.109.20.38,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,officeclient.microsoft.com,F,-,h2,T,CsxknGIi,"c52fd4dc731d55b2af25307a8731000951d3744a28aaf436fa86bd2dcff1b11f,511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea",(empty),T,0
2025-01-22 19:45:13.502959013,CLm8MQ3Q6attZfrG53,10.1.17.215,50101,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,www.msn.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 19:45:13.660406113,CGptnL2eDLMA8XKn1b,10.1.17.215,50102,23.205.110.137,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 19:45:13.766836882,CjGchm3mvdCqph7TU8,10.1.17.215,50103,52.109.20.47,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,odc.officeapps.live.com,F,-,h2,T,CsxknGIi,"2341e1715b35ff9436f3a74f3b57828fc50c7593866e7d13cda77a7453f3290f,511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea",(empty),T,0
