ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert
2024-08-15 00:09:45.479612112,CAXeEcInstPVQUE19,10.8.15.133,49672,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:09:45.799588919,C7R6hK3T4wZWjXdNH3,10.8.15.133,49673,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:09:47.233268023,CSDDhN3In933uHDXYb,10.8.15.133,49704,52.109.20.38,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,officeclient.microsoft.com,F,-,h2,T,CsxuknGIi,"7ca0792a093b263b37785ff35ede99e3962f1636265b1ed93527d28707dfe7b6,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T
2024-08-15 00:09:48.207324982,CarODQ20lZYM1hQfT4,10.8.15.133,49706,13.89.179.13,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:09:51.605442047,CHycer34teQU1kynX3,10.8.15.133,49711,13.89.179.13,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:09.434827089,CItln91od6CgJKp7Zb,10.8.15.133,49727,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:09.708445072,CkmM0moEu27W5Inil,10.8.15.133,49728,23.33.138.184,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,go.microsoft.com,T,-,-,T,CsiI,-,-,-
2024-08-15 00:10:09.858335972,CDdaKdzr1Qawc4e79,10.8.15.133,49729,51.116.253.170,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v20.events.data.microsoft.com,F,-,h2,T,CsxknGIi,"9b8d715d489e0d61ed3710c193f749952d1225707c27b0d2c2f1273bbd8fa524,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T
2024-08-15 00:10:10.664448977,C9Dx7m2DUdpjvIG9Qj,10.8.15.133,49730,20.96.153.111,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,fd.api.iris.microsoft.com,F,-,h2,T,CsxuknGIi,"71b7eed0cbf53413f43958d6029445254bc7e11f95c44e72c0a14a68bc7e4baf,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T
2024-08-15 00:10:10.667382002,CTEqSi3SPyYAfSS62f,10.8.15.133,49731,20.10.31.115,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,client.wns.windows.com,F,-,-,T,CsxknGIi,"b17b344329326a1bdf4e572f6b321808cfeeaf76061b98971a97020ad033d623,511c1c41cb7eb2a10078c32c82f17925ba786de46c633921d038e7409e15a5ea",(empty),T
2024-08-15 00:10:11.061774969,Cek33t3loH6VibUmXg,10.8.15.133,49732,23.53.13.203,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:13.103739023,Cj3mJI1U6zObefSFJl,10.8.15.133,49733,23.220.103.18,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:13.362451077,CwvxzW1BTkfuE0xaZc,10.8.15.133,49734,52.109.20.38,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,officeclient.microsoft.com,F,-,h2,T,CsxuknGIi,"7ca0792a093b263b37785ff35ede99e3962f1636265b1ed93527d28707dfe7b6,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T
